NAME,B17001_002E,B17001_001E,B03002_003E,B03002_004E,B03002_012E,B25044_003E,B25044_010E,B25044_001E,state,county,tract,poverty_rate,no_vehicle_rate,pct_black,pct_hispanic
Census Tract 52.01; Sacramento County; California,679.0,1591.0,1073.0,446.0,1465.0,0.0,93.0,796.0,06,Sacramento,005201,42.7,11.7,28.0,92.1
Census Tract 52.02; Sacramento County; California,481.0,3581.0,1902.0,173.0,750.0,27.0,10.0,1550.0,06,Sacramento,005202,13.4,2.4,4.8,20.9
Census Tract 52.04; Sacramento County; California,506.0,4562.0,2725.0,349.0,908.0,57.0,167.0,1909.0,06,Sacramento,005204,11.1,11.7,7.7,19.9
Census Tract 52.05; Sacramento County; California,1088.0,3334.0,1416.0,182.0,1550.0,21.0,79.0,1385.0,06,Sacramento,005205,32.6,7.2,5.5,46.5
Census Tract 53.01; Sacramento County; California,901.0,2060.0,915.0,452.0,330.0,0.0,158.0,698.0,06,Sacramento,005301,43.7,22.6,21.9,16.0
Census Tract 54.02; Sacramento County; California,696.0,2965.0,1349.0,493.0,581.0,0.0,204.0,1633.0,06,Sacramento,005402,23.5,12.5,16.6,19.6
Census Tract 54.03; Sacramento County; California,553.0,2208.0,1451.0,50.0,387.0,27.0,26.0,1319.0,06,Sacramento,005403,25.0,4.0,2.3,17.5
Census Tract 54.04; Sacramento County; California,227.0,5887.0,4478.0,172.0,757.0,18.0,96.0,2816.0,06,Sacramento,005404,3.9,4.0,2.9,12.9
Census Tract 55.02; Sacramento County; California,1295.0,5746.0,1277.0,850.0,2933.0,51.0,213.0,2059.0,06,Sacramento,005502,22.5,12.8,14.8,51.0
Census Tract 55.05; Sacramento County; California,1052.0,4844.0,1595.0,513.0,1534.0,16.0,111.0,2232.0,06,Sacramento,005505,21.7,5.7,10.6,31.7
Census Tract 55.06; Sacramento County; California,1510.0,3965.0,672.0,721.0,1773.0,0.0,16.0,1308.0,06,Sacramento,005506,38.1,1.2,18.2,44.7
Census Tract 55.08; Sacramento County; California,1318.0,4067.0,1796.0,520.0,887.0,22.0,227.0,2012.0,06,Sacramento,005508,32.4,12.4,12.8,21.8
Census Tract 55.09; Sacramento County; California,498.0,2171.0,689.0,610.0,470.0,0.0,46.0,994.0,06,Sacramento,005509,22.9,4.6,28.1,21.6
Census Tract 55.10; Sacramento County; California,1907.0,5505.0,1660.0,884.0,1588.0,21.0,290.0,2329.0,06,Sacramento,005510,34.6,13.4,16.1,28.8
Census Tract 56.01; Sacramento County; California,1586.0,6811.0,3239.0,403.0,997.0,0.0,138.0,2601.0,06,Sacramento,005601,23.3,5.3,5.9,14.6
Census Tract 56.05; Sacramento County; California,1034.0,3647.0,1562.0,182.0,748.0,11.0,41.0,1308.0,06,Sacramento,005605,28.4,4.0,5.0,20.5
Census Tract 56.06; Sacramento County; California,607.0,4845.0,2624.0,217.0,1272.0,18.0,66.0,1880.0,06,Sacramento,005606,12.5,4.5,4.5,26.3
Census Tract 57.01; Sacramento County; California,533.0,3914.0,2643.0,257.0,434.0,19.0,58.0,1419.0,06,Sacramento,005701,13.6,5.4,6.6,11.1
Census Tract 57.02; Sacramento County; California,155.0,4631.0,3719.0,21.0,493.0,40.0,25.0,1738.0,06,Sacramento,005702,3.3,3.7,0.5,10.6
Census Tract 58.01; Sacramento County; California,400.0,5558.0,3800.0,413.0,807.0,25.0,46.0,2316.0,06,Sacramento,005801,7.2,3.1,7.4,14.5
Census Tract 58.03; Sacramento County; California,122.0,3812.0,2753.0,22.0,278.0,0.0,0.0,1465.0,06,Sacramento,005803,3.2,0.0,0.6,7.3
Census Tract 58.04; Sacramento County; California,138.0,2542.0,1969.0,0.0,266.0,0.0,18.0,1022.0,06,Sacramento,005804,5.4,1.8,0.0,10.5
Census Tract 59.01; Sacramento County; California,477.0,5931.0,4303.0,431.0,531.0,209.0,113.0,2789.0,06,Sacramento,005901,8.0,11.5,7.3,9.0
Census Tract 59.03; Sacramento County; California,527.0,2879.0,1532.0,488.0,225.0,0.0,47.0,1350.0,06,Sacramento,005903,18.3,3.5,17.0,7.8
Census Tract 59.04; Sacramento County; California,770.0,5561.0,3408.0,420.0,621.0,45.0,186.0,2100.0,06,Sacramento,005904,13.8,11.0,7.6,11.2
Census Tract 60.02; Sacramento County; California,753.0,5008.0,3260.0,411.0,724.0,135.0,111.0,2299.0,06,Sacramento,006002,15.0,10.7,8.2,14.5
Census Tract 60.03; Sacramento County; California,1255.0,4866.0,2355.0,516.0,1529.0,10.0,119.0,1923.0,06,Sacramento,006003,25.8,6.7,10.6,31.4
Census Tract 60.04; Sacramento County; California,165.0,2557.0,1921.0,100.0,409.0,7.0,11.0,1103.0,06,Sacramento,006004,6.5,1.6,3.9,16.0
Census Tract 61.01; Sacramento County; California,1014.0,4528.0,2581.0,342.0,715.0,42.0,177.0,2118.0,06,Sacramento,006101,22.4,10.3,7.6,15.8
Census Tract 61.02; Sacramento County; California,632.0,3928.0,1713.0,422.0,927.0,22.0,268.0,1969.0,06,Sacramento,006102,16.1,14.7,10.7,23.6
Census Tract 62.02; Sacramento County; California,848.0,4181.0,1462.0,634.0,1513.0,36.0,118.0,1703.0,06,Sacramento,006202,20.3,9.0,15.2,36.2
Census Tract 62.03; Sacramento County; California,1360.0,3992.0,892.0,355.0,1097.0,20.0,136.0,1367.0,06,Sacramento,006203,34.1,11.4,8.9,27.5
Census Tract 62.04; Sacramento County; California,531.0,3462.0,956.0,159.0,1242.0,0.0,138.0,1355.0,06,Sacramento,006204,15.3,10.2,4.6,35.9
Census Tract 63; Sacramento County; California,1542.0,4609.0,1632.0,520.0,1828.0,4.0,111.0,1588.0,06,Sacramento,006300,33.5,7.2,11.3,39.7
Census Tract 64; Sacramento County; California,1079.0,5499.0,1456.0,483.0,2756.0,34.0,29.0,1752.0,06,Sacramento,006400,19.6,3.6,8.8,50.1
Census Tract 65.01; Sacramento County; California,1788.0,4610.0,323.0,1293.0,1813.0,0.0,134.0,1478.0,06,Sacramento,006501,38.8,9.1,28.0,39.3
Census Tract 65.02; Sacramento County; California,169.0,2568.0,447.0,143.0,469.0,0.0,0.0,655.0,06,Sacramento,006502,6.6,0.0,5.6,18.3
Census Tract 66; Sacramento County; California,1704.0,7554.0,2150.0,931.0,2992.0,9.0,216.0,2455.0,06,Sacramento,006600,22.6,9.2,12.3,39.6
Census Tract 67.03; Sacramento County; California,848.0,5592.0,736.0,992.0,2123.0,21.0,22.0,1375.0,06,Sacramento,006703,15.2,3.1,17.7,38.0
Census Tract 67.04; Sacramento County; California,962.0,3745.0,693.0,733.0,1587.0,17.0,161.0,1058.0,06,Sacramento,006704,25.7,16.8,19.6,42.4
Census Tract 67.05; Sacramento County; California,1428.0,5415.0,1480.0,985.0,1167.0,21.0,69.0,1454.0,06,Sacramento,006705,26.4,6.2,18.2,21.6
Census Tract 67.06; Sacramento County; California,536.0,3486.0,339.0,388.0,1659.0,41.0,36.0,928.0,06,Sacramento,006706,15.4,8.3,11.1,47.6
Census Tract 68.01; Sacramento County; California,315.0,1588.0,105.0,282.0,966.0,23.0,0.0,429.0,06,Sacramento,006801,19.8,5.4,17.8,60.8
Census Tract 68.02; Sacramento County; California,863.0,1939.0,624.0,30.0,1010.0,15.0,129.0,787.0,06,Sacramento,006802,44.5,18.3,1.5,52.1
Census Tract 68.03; Sacramento County; California,913.0,3523.0,207.0,724.0,1905.0,0.0,0.0,882.0,06,Sacramento,006803,25.9,0.0,20.6,54.1
Census Tract 69.01; Sacramento County; California,218.0,1637.0,882.0,99.0,472.0,59.0,187.0,945.0,06,Sacramento,006901,13.3,26.0,6.0,28.8
Census Tract 69.02; Sacramento County; California,903.0,3378.0,1258.0,224.0,1447.0,18.0,111.0,1245.0,06,Sacramento,006902,26.7,10.4,6.6,42.8
Census Tract 70.01; Sacramento County; California,1062.0,4523.0,870.0,326.0,2860.0,3.0,31.0,1367.0,06,Sacramento,007001,23.5,2.5,7.2,63.2
Census Tract 70.07; Sacramento County; California,630.0,5965.0,837.0,648.0,3550.0,27.0,57.0,1794.0,06,Sacramento,007007,10.6,4.7,10.9,59.5
Census Tract 70.10; Sacramento County; California,550.0,3973.0,1661.0,571.0,760.0,12.0,35.0,2158.0,06,Sacramento,007010,13.8,2.2,14.4,19.1
Census Tract 70.11; Sacramento County; California,1015.0,6917.0,1628.0,1321.0,2640.0,0.0,108.0,2743.0,06,Sacramento,007011,14.7,3.9,19.1,38.2
Census Tract 70.12; Sacramento County; California,216.0,3841.0,827.0,614.0,1884.0,4.0,130.0,1484.0,06,Sacramento,007012,5.6,9.0,16.0,49.0
Census Tract 70.13; Sacramento County; California,142.0,2968.0,487.0,431.0,1010.0,0.0,54.0,1079.0,06,Sacramento,007013,4.8,5.0,14.5,34.0
Census Tract 70.16; Sacramento County; California,1142.0,5308.0,1141.0,748.0,1114.0,63.0,67.0,1667.0,06,Sacramento,007016,21.5,7.8,14.1,21.0
Census Tract 70.17; Sacramento County; California,131.0,3569.0,926.0,418.0,928.0,11.0,0.0,1163.0,06,Sacramento,007017,3.7,0.9,11.7,26.0
Census Tract 70.19; Sacramento County; California,1033.0,2897.0,365.0,842.0,881.0,0.0,43.0,813.0,06,Sacramento,007019,35.7,5.3,29.1,30.4
Census Tract 70.20; Sacramento County; California,193.0,4854.0,2048.0,488.0,1081.0,21.0,13.0,1887.0,06,Sacramento,007020,4.0,1.8,10.1,22.3
